Municipality,Year,PP_Total,Homestead_Total,BETE_Total
Acton,2022,1490000,9240000,0
Acton,2023,1840000,9500000,0
Acton,2024,2240000,9500000,0
Alfred,2022,5740000,18340000,4200000
Alfred,2023,5380000,18700000,4200000
Alfred,2024,6210000,18880000,4560000
Arundel,2022,6110000,25380000,6820000
Arundel,2023,7870000,26100000,7080000
Arundel,2024,7230000,26460000,7380000
Berwick,2022,6930000,51140000,3920000
Berwick,2023,5310000,52460000,4040000
Berwick,2024,8580000,53820000,4280000
Biddeford,2022,63600000,80860000,47760000
Biddeford,2023,70690000,83040000,50360000
Biddeford,2024,67980000,84980000,53480000
Buxton,2022,11380000,50700000,43900000
Buxton,2023,11300000,52260000,44600000
Buxton,2024,12890000,53460000,44800000
Cornish,2022,2660000,8160000,0
Cornish,2023,2180000,8480000,0
Cornish,2024,2180000,8640000,0
Dayton,2022,2290000,14140000,2200000
Dayton,2023,2440000,14620000,2260000
Dayton,2024,2690000,14820000,2420000
Eliot,2022,7500000,41940000,8260000
Eliot,2023,9630000,43220000,8580000
Eliot,2024,23040000,44060000,9000000
Hollis,2022,40720000,27460000,77200000
Hollis,2023,76430000,28280000,88580000
Hollis,2024,74670000,28740000,95800000
Kennebunk,2022,36190000,63520000,29880000
Kennebunk,2023,31060000,65340000,31340000
Kennebunk,2024,31480000,66500000,32480000
Kennebunkport,2022,9370000,19100000,1960000
Kennebunkport,2023,9760000,19620000,2020000
Kennebunkport,2024,9500000,20000000,2100000
Kittery,2022,34660000,55680000,10720000
Kittery,2023,36260000,57200000,11200000
Kittery,2024,36810000,58340000,11660000
Lebanon,2022,1590000,38880000,26940000
Lebanon,2023,1630000,40140000,27700000
Lebanon,2024,3060000,41200000,28600000
Limerick,2022,4010000,18160000,1700000
Limerick,2023,3120000,18900000,1740000
Limerick,2024,2860000,19300000,1800000
Limington,2022,880000,19600000,7560000
Limington,2023,1060000,20400000,7740000
Limington,2024,1160000,20980000,7920000
Lyman,2022,3550000,24660000,3900000
Lyman,2023,3210000,25560000,4000000
Lyman,2024,3000000,26080000,4120000
Newfield,2022,640000,7620000,2480000
Newfield,2023,630000,7880000,2540000
Newfield,2024,650000,8020000,2620000
North Berwick,2022,50780000,26940000,214260000
North Berwick,2023,50270000,27880000,228060000
North Berwick,2024,49180000,28500000,246240000
Ogunquit,2022,9950000,6400000,980000
Ogunquit,2023,10380000,6620000,1020000
Ogunquit,2024,11000000,6760000,1060000
Old Orchard Beach,2022,43080000,40700000,14040000
Old Orchard Beach,2023,47240000,42000000,14600000
Old Orchard Beach,2024,55770000,43100000,15280000
Parsonsfield,2022,1570000,8880000,2440000
Parsonsfield,2023,1640000,9200000,2500000
Parsonsfield,2024,1500000,9400000,2580000
Saco,2022,48580000,109660000,42680000
Saco,2023,50100000,113180000,44620000
Saco,2024,53310000,115820000,46560000
Sanford,2022,130570000,113780000,29200000
Sanford,2023,138920000,117400000,30620000
Sanford,2024,144440000,120560000,32320000
Shapleigh,2022,0,14700000,13140000
Shapleigh,2023,92190,15200000,13600000
Shapleigh,2024,96850,15540000,14020000
South Berwick,2022,5740000,46000000,19320000
South Berwick,2023,6440000,47460000,20000000
South Berwick,2024,6490000,48440000,20740000
Waterboro,2022,7880000,45420000,20740000
Waterboro,2023,7620000,47060000,21500000
Waterboro,2024,7430000,48360000,45800000
Wells,2022,20670000,58940000,13540000
Wells,2023,26010000,60920000,14060000
Wells,2024,30160000,62440000,14580000
York,2022,29280000,72280000,13220000
York,2023,26560000,74620000,13780000
York,2024,28270000,76320000,14340000
